method,seed,condition_id,geometry_variable,geometry_value,sample_count,error_count,error_rate,harmful_flip_count,harmful_flip_rate
hog,not_applicable,gaussian_blur_severe,boundary_shifted,True,84,50,0.5952380952380952,14,0.16666666666666666
hog,not_applicable,gaussian_blur_severe,boundary_shifted,False,78,32,0.41025641025641024,10,0.1282051282051282
hog,not_applicable,resolution_mild,boundary_shifted,True,84,43,0.5119047619047619,3,0.03571428571428571
hog,not_applicable,resolution_mild,boundary_shifted,False,78,27,0.34615384615384615,1,0.01282051282051282
hog,not_applicable,resolution_moderate,boundary_shifted,True,84,42,0.5,5,0.05952380952380952
hog,not_applicable,resolution_moderate,boundary_shifted,False,78,28,0.358974358974359,5,0.0641025641025641
hog,not_applicable,resolution_severe,boundary_shifted,True,84,46,0.5476190476190477,7,0.08333333333333333
hog,not_applicable,resolution_severe,boundary_shifted,False,78,30,0.38461538461538464,9,0.11538461538461539
hog,not_applicable,brightness_mild,boundary_shifted,True,84,47,0.5595238095238095,3,0.03571428571428571
hog,not_applicable,brightness_mild,boundary_shifted,False,78,29,0.3717948717948718,3,0.038461538461538464
hog,not_applicable,brightness_moderate,boundary_shifted,True,84,51,0.6071428571428571,7,0.08333333333333333
