method,seed,condition_id,true_label,support,dominant_incorrect_destination,dominant_incorrect_count
resnet18,43,gaussian_blur_severe,hide_craze,49,surface_injure,2
resnet18,43,resolution_mild,craze,27,surface_injure,1
resnet18,43,resolution_mild,corrosion,30,surface_injure,4
resnet18,43,resolution_mild,surface_injure,33,hide_craze,2
resnet18,43,resolution_mild,thunderstrike,9,surface_injure,2
resnet18,43,resolution_mild,crack,14,hide_craze,1
resnet18,43,resolution_mild,hide_craze,49,crack,3
resnet18,43,resolution_moderate,craze,27,surface_injure|crack,1
resnet18,43,resolution_moderate,corrosion,30,hide_craze,6
resnet18,43,resolution_moderate,surface_injure,33,hide_craze,3
resnet18,43,resolution_moderate,thunderstrike,9,surface_injure,2
resnet18,43,resolution_moderate,crack,14,none,0
resnet18,43,resolution_moderate,hide_craze,49,crack,3
resnet18,43,resolution_severe,craze,27,hide_craze,7
resnet18,43,resolution_severe,corrosion,30,hide_craze,13
resnet18,43,resolution_severe,surface_injure,33,hide_craze,4
resnet18,43,resolution_severe,thunderstrike,9,surface_injure,3
resnet18,43,resolution_severe,crack,14,hide_craze,2
resnet18,43,resolution_severe,hide_craze,49,surface_injure,1
resnet18,43,brightness_mild,craze,27,surface_injure,2
resnet18,43,brightness_mild,corrosion,30,surface_injure|hide_craze,3
resnet18,43,brightness_mild,surface_injure,33,craze|corrosion|hide_craze,1
resnet18,43,brightness_mild,thunderstrike,9,surface_injure,2
resnet18,43,brightness_mild,crack,14,hide_craze,1
resnet18,43,brightness_mild,hide_craze,49,craze|surface_injure,1
resnet18,43,brightness_moderate,craze,27,surface_injure|hide_craze,4
resnet18,43,brightness_moderate,corrosion,30,hide_craze,8
resnet18,43,brightness_moderate,surface_injure,33,hide_craze,3
resnet18,43,brightness_moderate,thunderstrike,9,surface_injure,2
resnet18,43,brightness_moderate,crack,14,hide_craze,2
resnet18,43,brightness_moderate,hide_craze,49,surface_injure,2
resnet18,43,brightness_severe,craze,27,hide_craze,14
resnet18,43,brightness_severe,corrosion,30,hide_craze,22
resnet18,43,brightness_severe,surface_injure,33,hide_craze,13
resnet18,43,brightness_severe,thunderstrike,9,hide_craze,4
resnet18,43,brightness_severe,crack,14,hide_craze,11
resnet18,43,brightness_severe,hide_craze,49,surface_injure,1
resnet18,43,jpeg_mild,craze,27,none,0
resnet18,43,jpeg_mild,corrosion,30,surface_injure,3
resnet18,43,jpeg_mild,surface_injure,33,hide_craze,2
resnet18,43,jpeg_mild,thunderstrike,9,surface_injure,2
resnet18,43,jpeg_mild,crack,14,hide_craze,1
resnet18,43,jpeg_mild,hide_craze,49,crack,2
resnet18,43,jpeg_moderate,craze,27,crack,2
resnet18,43,jpeg_moderate,corrosion,30,surface_injure,3
resnet18,43,jpeg_moderate,surface_injure,33,hide_craze,3
resnet18,43,jpeg_moderate,thunderstrike,9,surface_injure,2
resnet18,43,jpeg_moderate,crack,14,hide_craze,1
resnet18,43,jpeg_moderate,hide_craze,49,crack,2
resnet18,43,jpeg_severe,craze,27,hide_craze,4
resnet18,43,jpeg_severe,corrosion,30,hide_craze,4
resnet18,43,jpeg_severe,surface_injure,33,corrosion|hide_craze,3
resnet18,43,jpeg_severe,thunderstrike,9,surface_injure,2
resnet18,43,jpeg_severe,crack,14,hide_craze,2
resnet18,43,jpeg_severe,hide_craze,49,surface_injure,3
mobilenet_v3_small,17,clean,craze,27,corrosion|surface_injure,1
mobilenet_v3_small,17,clean,corrosion,30,hide_craze,4
mobilenet_v3_small,17,clean,surface_injure,33,hide_craze,3
mobilenet_v3_small,17,clean,thunderstrike,9,none,0
mobilenet_v3_small,17,clean,crack,14,none,0
mobilenet_v3_small,17,clean,hide_craze,49,surface_injure,2
mobilenet_v3_small,17,gaussian_blur_mild,craze,27,corrosion|surface_injure,1
mobilenet_v3_small,17,gaussian_blur_mild,corrosion,30,hide_craze,3
mobilenet_v3_small,17,gaussian_blur_mild,surface_injure,33,hide_craze,3
mobilenet_v3_small,17,gaussian_blur_mild,thunderstrike,9,none,0
mobilenet_v3_small,17,gaussian_blur_mild,crack,14,none,0
mobilenet_v3_small,17,gaussian_blur_mild,hide_craze,49,surface_injure,2
mobilenet_v3_small,17,gaussian_blur_moderate,craze,27,surface_injure,5
mobilenet_v3_small,17,gaussian_blur_moderate,corrosion,30,hide_craze,7
mobilenet_v3_small,17,gaussian_blur_moderate,surface_injure,33,hide_craze,3
mobilenet_v3_small,17,gaussian_blur_moderate,thunderstrike,9,surface_injure,1
mobilenet_v3_small,17,gaussian_blur_moderate,crack,14,none,0
mobilenet_v3_small,17,gaussian_blur_moderate,hide_craze,49,surface_injure,2
mobilenet_v3_small,17,gaussian_blur_severe,craze,27,surface_injure,8
mobilenet_v3_small,17,gaussian_blur_severe,corrosion,30,hide_craze,10
mobilenet_v3_small,17,gaussian_blur_severe,surface_injure,33,hide_craze,4
mobilenet_v3_small,17,gaussian_blur_severe,thunderstrike,9,surface_injure,4
mobilenet_v3_small,17,gaussian_blur_severe,crack,14,surface_injure,1
mobilenet_v3_small,17,gaussian_blur_severe,hide_craze,49,surface_injure,4
mobilenet_v3_small,17,resolution_mild,craze,27,surface_injure,2
mobilenet_v3_small,17,resolution_mild,corrosion,30,surface_injure|hide_craze,3
mobilenet_v3_small,17,resolution_mild,surface_injure,33,hide_craze,3
mobilenet_v3_small,17,resolution_mild,thunderstrike,9,none,0
mobilenet_v3_small,17,resolution_mild,crack,14,none,0
mobilenet_v3_small,17,resolution_mild,hide_craze,49,surface_injure,2
mobilenet_v3_small,17,resolution_moderate,craze,27,surface_injure,4
mobilenet_v3_small,17,resolution_moderate,corrosion,30,hide_craze,5
mobilenet_v3_small,17,resolution_moderate,surface_injure,33,hide_craze,3
mobilenet_v3_small,17,resolution_moderate,thunderstrike,9,none,0
mobilenet_v3_small,17,resolution_moderate,crack,14,none,0
mobilenet_v3_small,17,resolution_moderate,hide_craze,49,surface_injure,2
mobilenet_v3_small,17,resolution_severe,craze,27,surface_injure,8
mobilenet_v3_small,17,resolution_severe,corrosion,30,hide_craze,10
mobilenet_v3_small,17,resolution_severe,surface_injure,33,hide_craze,2
mobilenet_v3_small,17,resolution_severe,thunderstrike,9,surface_injure,5
mobilenet_v3_small,17,resolution_severe,crack,14,surface_injure,1
mobilenet_v3_small,17,resolution_severe,hide_craze,49,craze|surface_injure,2
mobilenet_v3_small,17,brightness_mild,craze,27,corrosion|thunderstrike,1
