method,training_fraction,class,training_class_count,f1_mean,f1_sample_sd,precision_mean,precision_sample_sd,recall_mean,recall_sample_sd
lbp,0.25,craze,39,0.5265359477124183,0.02898071939461656,0.5640096618357487,0.03869920282611626,0.49382716049382713,0.021383343303319473
lbp,0.25,corrosion,40,0.3846829054202326,0.03002677502697856,0.45120614035087714,0.0389331595999583,0.3444444444444445,0.07698003589195011
lbp,0.25,surface_injure,66,0.416532474503489,0.04026838289535384,0.3282721280602636,0.013948112584122896,0.5757575757575757,0.10925912955951482
lbp,0.25,thunderstrike,12,0.20000000000000004,3.3993498887762956e-17,1.0,0.0,0.1111111111111111,0.0
lbp,0.25,crack,28,0.2896825396825397,0.04180814981290768,0.7261904761904763,0.28645736703609437,0.19047619047619047,0.041239304942116126
lbp,0.25,hide_craze,67,0.5600539811066126,0.04830102609493467,0.5447957839262186,0.03638153308809825,0.5782312925170068,0.07167111396498459
lbp,0.5,craze,70,0.6543209876543209,0.05657500857970175,0.66820987654321,0.0655273881035869,0.6419753086419754,0.05657500857970175
lbp,0.5,corrosion,72,0.49538784067085956,0.040449265568824465,0.5486605182257356,0.03704474059227245,0.45555555555555555,0.06938886664887108
lbp,0.5,surface_injure,111,0.4907407407407407,0.02053210157464325,0.4341880341880342,0.011209296622738453,0.5656565656565656,0.04628864338339234
lbp,0.5,thunderstrike,22,0.30909090909090914,0.09447549859466603,1.0,0.0,0.1851851851851852,0.06415002990995841
lbp,0.5,crack,51,0.5474762618690655,0.0643296056824399,0.7000000000000001,0.12018504251546636,0.4761904761904762,0.14869042853329523
lbp,0.5,hide_craze,114,0.6385161135161135,0.019258810418352968,0.5988624338624339,0.018332531648336835,0.6870748299319729,0.062347968638854924
lbp,0.75,craze,98,0.6531471362072455,0.05190036440286693,0.648037636954943,0.057845224418216025,0.6666666666666666,0.09799078929868851
lbp,0.75,corrosion,100,0.5119047619047619,0.027714718042006568,0.5673076923076922,0.02243589743589746,0.4666666666666666,0.033333333333333326
lbp,0.75,surface_injure,151,0.445079365079365,0.03025714935223835,0.404976404976405,0.02381242228464679,0.494949494949495,0.04628864338339231
lbp,0.75,thunderstrike,32,0.44172494172494176,0.07030783744454859,0.9166666666666666,0.14433756729740646,0.2962962962962963,0.06415002990995841
lbp,0.75,crack,73,0.6014374946521777,0.05589448564326091,0.5905228758169935,0.008565583282405954,0.6190476190476191,0.10910894511799621
lbp,0.75,hide_craze,154,0.637199221873944,0.034167139765455476,0.622803893637227,0.016331690361338316,0.6530612244897959,0.05399492471560389
lbp,1.0,craze,123,0.6779661016949152,,0.625,,0.7407407407407407,
